City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Natal,BR,77.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
1,Hithadhoo,MV,81.55,overcast clouds,-0.6,73.0833,Scoop Guest House
2,Esperance,AU,58.78,clear sky,-33.8667,121.9,Hospitality Esperance
3,Punta Arenas,CL,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
4,Busselton,AU,63.66,few clouds,-33.65,115.3333,Observatory Guest House
5,Yellowknife,CA,57.72,light intensity shower rain,62.456,-114.3525,The Explorer Hotel
6,Kaset Sombun,TH,81.72,overcast clouds,16.2805,101.9542,BoonTewa Hotel
8,Gondanglegi,ID,80.17,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
10,Geraldton,AU,63.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
11,Nabire,ID,83.97,broken clouds,-3.3667,135.4833,Hotel Nusantara I
12,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Ancud,CL,45.23,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
15,Ushuaia,AR,44.26,clear sky,-54.8,-68.3,Albatross Hotel
16,Nkan,GA,78.57,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
18,Peleduy,RU,75.11,clear sky,59.6289,112.7406,Гостиница «Уют»
19,Kuhdasht,IR,65.71,clear sky,33.535,47.6061,فروشگاه زنبیل
20,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
21,Quatre Cocos,MU,73.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
22,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
23,Mapiripan,CO,73.8,overcast clouds,2.8892,-72.1256,Monserrate
24,Nanortalik,GL,38.57,clear sky,60.1432,-45.2371,Hotel Kap Farvel
25,Bac Lieu,VN,83.25,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
