,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Natal,BR,-5.795,-35.2094,77.22,88,40,3.44,scattered clouds
1,Hithadhoo,MV,-0.6,73.0833,81.55,74,89,5.35,overcast clouds
2,Esperance,AU,-33.8667,121.9,58.78,66,0,9.1,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,44.71,61,75,12.66,broken clouds
4,Busselton,AU,-33.65,115.3333,63.66,78,18,12.3,few clouds
5,Yellowknife,CA,62.456,-114.3525,57.72,94,75,10.36,light intensity shower rain
6,Kaset Sombun,TH,16.2805,101.9542,81.72,74,100,1.1,overcast clouds
7,Chokurdakh,RU,70.6333,147.9167,66.54,26,100,8.41,overcast clouds
8,Gondanglegi,ID,-7.7479,112.0132,80.17,81,38,3.13,scattered clouds
9,Albany,US,42.6001,-73.9662,74.62,65,100,3.85,overcast clouds
10,Geraldton,AU,-28.7667,114.6,63.01,94,75,10.36,broken clouds
11,Nabire,ID,-3.3667,135.4833,83.97,67,77,2.15,broken clouds
12,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,70,17.94,light rain
13,Ancud,CL,-41.8697,-73.8203,45.23,90,57,3.8,light rain
14,Jizan,SA,17.3333,42.6667,90.54,76,80,4.03,broken clouds
15,Ushuaia,AR,-54.8,-68.3,44.26,57,0,6.91,clear sky
16,Nkan,GA,0.3833,9.7833,78.57,87,90,2.44,overcast clouds
17,Cabo San Lucas,MX,22.8909,-109.9124,90.7,42,0,11.5,clear sky
18,Peleduy,RU,59.6289,112.7406,75.11,37,9,4.72,clear sky
19,Kuhdasht,IR,33.535,47.6061,65.71,28,0,7.56,clear sky
20,Avarua,CK,-21.2078,-159.775,80.65,74,13,13.8,few clouds
21,Quatre Cocos,MU,-20.2078,57.7625,73.09,69,0,15.61,clear sky
22,Vaini,TO,-21.2,-175.2,78.96,78,75,6.91,broken clouds
23,Mapiripan,CO,2.8892,-72.1256,73.8,85,100,2.95,overcast clouds
24,Nanortalik,GL,60.1432,-45.2371,38.57,80,6,8.41,clear sky
25,Bac Lieu,VN,9.285,105.7244,83.25,71,100,0.4,overcast clouds
26,Kapaa,US,22.0752,-159.319,84.18,77,40,12.66,scattered clouds
27,Ouegoa,NC,-20.35,164.4333,80.46,71,23,13.02,few clouds
28,Yumen,CN,40.2833,97.2,81.73,8,100,5.53,overcast clouds
29,East London,ZA,-33.0153,27.9116,54.55,62,16,19.95,few clouds
30,Mataura,NZ,-46.1927,168.8643,49.48,96,100,7.58,overcast clouds
31,Jamestown,US,42.097,-79.2353,81.95,89,100,4.41,overcast clouds
32,Manicore,BR,-5.8092,-61.3003,75.15,94,0,0.0,clear sky
33,Barrow,US,71.2906,-156.7887,39.22,87,75,12.66,broken clouds
34,Westport,US,41.1415,-73.3579,69.3,84,20,5.75,few clouds
35,College,US,64.8569,-147.8028,73.0,47,75,5.75,smoke
36,Vilhena,BR,-12.7406,-60.1458,73.36,66,100,1.66,overcast clouds
