City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-06-14 03:54:11,-46.1927,168.8643,43.48,88,100,14.41
1,Arraial Do Cabo,BR,2022-06-14 03:47:43,-22.9661,-42.0278,67.3,81,97,18.23
2,Walvis Bay,NA,2022-06-14 03:49:03,-22.9575,14.5053,58.15,77,57,5.75
3,Bredasdorp,ZA,2022-06-14 03:47:38,-34.5322,20.0403,51.82,85,44,7.14
4,Berdigestyakh,RU,2022-06-14 03:50:27,62.0989,126.6992,58.3,73,93,4.9
5,Vostok,RU,2022-06-14 03:50:27,46.4856,135.8833,76.8,36,2,3.24
6,Puerto Ayora,EC,2022-06-14 03:45:12,-0.7393,-90.3518,71.55,94,74,1.01
7,Hasaki,JP,2022-06-14 03:45:15,35.7333,140.8333,66.6,72,100,15.14
8,Kodiak,US,2022-06-14 03:46:19,57.79,-152.4072,47.71,93,100,10.36
9,Georgetown,MY,2022-06-14 03:51:10,5.4112,100.3354,87.73,82,20,6.91
10,Coos Bay,US,2022-06-14 03:50:28,43.3665,-124.2179,55.92,88,0,10.36
11,Paita,PE,2022-06-14 03:50:28,-5.0892,-81.1144,63.97,80,36,9.98
12,Khatanga,RU,2022-06-14 03:52:12,71.9667,102.5,59.7,42,36,13.33
13,Meliti,GR,2022-06-14 03:50:29,40.8333,21.5833,61.77,88,17,4.36
14,Tasiilaq,GL,2022-06-14 03:54:13,65.6145,-37.6368,35.94,98,100,12.55
15,Qaanaaq,GL,2022-06-14 03:54:13,77.484,-69.3632,21.29,82,48,4.36
16,Atuona,PF,2022-06-14 03:46:27,-9.8,-139.0333,76.62,77,82,18.66
17,Nishihara,JP,2022-06-14 03:50:29,26.1842,127.7558,87.85,84,75,17.27
18,Rikitea,PF,2022-06-14 03:51:37,-23.1203,-134.9692,73.29,65,100,7.45
19,Annaka,JP,2022-06-14 03:50:30,36.3167,138.9,66.33,84,100,4.23
20,Saint-Pierre,RE,2022-06-14 03:50:30,-21.3393,55.4781,72.91,68,0,5.75
21,Kloulklubed,PW,2022-06-14 03:50:31,7.0419,134.2556,82.9,73,98,10.76
22,Camocim,BR,2022-06-14 03:50:31,-2.9022,-40.8411,74.12,89,30,8.66
23,Mar Del Plata,AR,2022-06-14 03:45:17,-38.0023,-57.5575,50.09,74,0,9.22
24,Albany,US,2022-06-14 03:54:15,42.6001,-73.9662,61.92,72,100,4.7
25,Ushuaia,AR,2022-06-14 03:51:32,-54.8,-68.3,40.66,87,40,13.8
26,New Norfolk,AU,2022-06-14 03:45:03,-42.7826,147.0587,55.89,63,84,2.62
27,Busselton,AU,2022-06-14 03:50:20,-33.65,115.3333,64.99,60,9,12.91
28,Punta Arenas,CL,2022-06-14 03:54:16,-53.15,-70.9167,37.51,87,0,11.5
29,Fortuna,US,2022-06-14 03:45:04,40.5982,-124.1573,57.54,75,6,4.0
30,Nikolskoye,RU,2022-06-14 03:54:16,59.7035,30.7861,60.87,79,84,1.21
31,Kahului,US,2022-06-14 03:50:33,20.8947,-156.47,82.42,72,40,23.02
32,Nedryhayliv,UA,2022-06-14 03:50:33,50.834,33.8763,65.32,85,12,5.95
33,Baghdad,IQ,2022-06-14 03:47:44,33.3406,44.4009,78.71,38,0,3.44
34,Narsaq,GL,2022-06-14 03:50:33,60.9167,-46.05,40.35,53,13,1.68
35,Sinjai,ID,2022-06-14 03:50:34,-5.1241,120.253,84.15,72,100,5.14
36,Grand Gaube,MU,2022-06-14 03:54:17,-20.0064,57.6608,74.37,58,93,8.01
37,Cehegin,ES,2022-06-14 03:49:01,38.0924,-1.7985,74.68,32,97,0.38
38,Saint-Philippe,RE,2022-06-14 03:45:09,-21.3585,55.7679,67.59,69,50,15.75
39,Jamestown,US,2022-06-14 03:43:45,42.097,-79.2353,63.05,41,98,1.01
40,Butaritari,KI,2022-06-14 03:46:24,3.0707,172.7902,81.91,75,12,14.97
41,Sao Filipe,CV,2022-06-14 03:49:02,14.8961,-24.4956,73.35,75,60,9.93
42,Camacha,PT,2022-06-14 03:50:35,33.0833,-16.3333,62.02,77,40,0.0
43,Castro,BR,2022-06-14 03:44:42,-24.7911,-50.0119,41.04,96,1,4.18
44,Kashi,CN,2022-06-14 03:50:36,39.4547,75.9797,81.61,12,0,26.84
45,Comodoro Rivadavia,AR,2022-06-14 03:50:22,-45.8667,-67.5,55.26,50,0,10.36
46,Nantucket,US,2022-06-14 03:46:28,41.2835,-70.0995,69.91,97,100,11.5
47,Qax,AZ,2022-06-14 03:50:36,41.4225,46.9242,65.39,75,75,3.38
48,Atocha,BO,2022-06-14 03:54:19,-20.9333,-66.2333,33.49,14,0,5.1
49,Sur,OM,2022-06-14 03:52:54,22.5667,59.5289,86.81,66,2,3.98
50,Bara,NG,2022-06-14 03:54:20,10.3744,10.7288,79.56,66,93,9.31
51,Upernavik,GL,2022-06-14 03:49:04,72.7868,-56.1549,30.4,87,87,5.1
52,Bluff,NZ,2022-06-14 03:51:50,-46.6,168.3333,43.81,67,100,37.6
53,Ilulissat,GL,2022-06-14 03:52:56,69.2167,-51.1,26.47,82,13,6.76
54,Ancud,CL,2022-06-14 03:54:21,-41.8697,-73.8203,50.23,94,100,8.79
55,Ponta Do Sol,PT,2022-06-14 03:45:04,32.6667,-17.1,67.71,62,90,3.44
56,Mabiton,PH,2022-06-14 03:54:21,12.8334,123.2612,85.42,68,41,7.2
57,Kastamonu,TR,2022-06-14 03:54:22,41.5,33.6667,58.32,87,90,1.86
58,Shache,CN,2022-06-14 03:51:36,38.4167,77.2406,88.65,15,88,13.42
59,Fairbanks,US,2022-06-14 03:54:22,64.8378,-147.7164,76.08,29,0,6.91
60,Bengkulu,ID,2022-06-14 03:54:23,-3.8004,102.2655,83.25,65,48,3.87
61,Celestun,MX,2022-06-14 03:54:23,20.8667,-90.4,84.16,64,75,13.91
62,Komsomolskiy,UZ,2022-06-14 03:50:19,40.4272,71.7189,77.72,38,16,4.61
63,Port Alfred,ZA,2022-06-14 03:42:38,-33.5906,26.891,68.18,52,100,3.0
64,Kapaa,US,2022-06-14 03:45:16,22.0752,-159.319,84.18,79,100,17.27
65,Port Elizabeth,ZA,2022-06-14 03:50:16,-33.918,25.5701,62.89,48,0,5.75
66,Kokkola,FI,2022-06-14 03:54:24,63.8385,23.1307,54.03,96,20,5.75
67,Qandala,SO,2022-06-14 03:54:24,11.472,49.8728,91.15,50,97,4.12
68,Avarua,CK,2022-06-14 03:54:25,-21.2078,-159.775,73.45,100,100,12.66
69,Los Llanos De Aridane,ES,2022-06-14 03:47:49,28.6585,-17.9182,64.15,82,40,5.99
70,Ganzhou,CN,2022-06-14 03:54:25,28.8184,115.4327,83.82,66,63,5.55
71,Mahebourg,MU,2022-06-14 03:54:25,-20.4081,57.7,74.25,68,40,14.97
72,Hualmay,PE,2022-06-14 03:54:26,-11.0964,-77.6139,61.93,82,19,10.67
73,Bambous Virieux,MU,2022-06-14 03:51:31,-20.3428,57.7575,74.21,68,40,14.97
74,Kailua,US,2022-06-14 03:54:04,21.4022,-157.7394,82.02,77,75,14.97
75,Santa Fe,AR,2022-06-14 03:54:26,-31.6333,-60.7,53.02,66,20,5.01
76,Puerto Baquerizo Moreno,EC,2022-06-14 03:54:27,-0.9,-89.6,71.94,80,85,7.34
77,Barra Do Garcas,BR,2022-06-14 03:46:30,-15.89,-52.2567,67.69,33,98,1.61
78,Saint George,US,2022-06-14 03:44:50,37.1041,-113.5841,90.19,9,0,10.36
79,Sitka,US,2022-06-14 03:54:28,57.0531,-135.33,52.14,82,74,3.44
80,Strezhevoy,RU,2022-06-14 03:54:28,60.7333,77.5889,61.52,77,94,7.76
81,Miri,MY,2022-06-14 03:54:28,4.4148,114.0089,86.14,79,40,3.44
82,Hobart,AU,2022-06-14 03:50:30,-42.8794,147.3294,56.23,66,75,8.05
83,Luanda,AO,2022-06-14 03:54:29,-8.8368,13.2343,67.53,90,55,8.25
84,Vila Franca Do Campo,PT,2022-06-14 03:51:45,37.7167,-25.4333,63.19,81,52,7.4
85,Harper,LR,2022-06-14 03:54:29,4.375,-7.7169,76.55,78,0,5.23
86,Sanandaj,IR,2022-06-14 03:54:30,35.3144,46.9923,64.42,34,0,0.0
87,Coahuayana,MX,2022-06-14 03:49:10,18.7333,-103.6833,77.76,89,56,3.36
88,Jawhar,SO,2022-06-14 03:54:30,2.7809,45.5005,75.07,81,9,14.47
89,Rio Gallegos,AR,2022-06-14 03:51:26,-51.6226,-69.2181,39.25,87,40,8.05
90,Chuy,UY,2022-06-14 03:51:40,-33.6971,-53.4616,50.27,94,7,5.84
91,Hermanus,ZA,2022-06-14 03:54:31,-34.4187,19.2345,53.8,81,55,17.63
92,Naze,JP,2022-06-14 03:52:48,28.3667,129.4833,79.72,78,100,20.33
93,Oktyabrskoye,RU,2022-06-14 03:54:32,43.0645,44.7417,60.94,93,86,2.24
94,Laizhou,CN,2022-06-14 03:54:32,37.1717,119.9214,74.59,57,100,9.06
95,Provideniya,RU,2022-06-14 03:45:13,64.3833,-173.3,35.71,87,100,11.18
96,Ruidoso,US,2022-06-14 03:54:33,33.3317,-105.673,77.86,16,0,17.27
97,Cidreira,BR,2022-06-14 03:47:36,-30.1811,-50.2056,55.4,92,52,4.47
98,Tevaitoa,PF,2022-06-14 03:54:33,-16.7833,-151.5,80.08,67,28,20.8
99,Tezu,IN,2022-06-14 03:54:34,27.9167,96.1667,75.07,97,100,2.42
100,Halifax,CA,2022-06-14 03:54:34,44.6453,-63.5724,59.34,98,100,9.22
